127.0.0.1 - - [27/Feb/2013:00:00:22 -0300] "GET / HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:24 -0300] "GET /ProyWeb10/index.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:24 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:35 -0300] "GET /ProyWeb10/index.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:35 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:35 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:46 -0300] "POST /ProyWeb10/Validacion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:46 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:00:50 -0300] "GET /ProyWeb10/CargaDiaria.jsp HTTP/1.1" 200 8643
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:16 -0300] "POST /ProyWeb10/Hacerupdate.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:23 -0300] "GET /ProyWeb10/CargaDiaria.jsp HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:25 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:29 -0300] "GET /ProyWeb10/CierreGlobal.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:46 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:01:52 -0300] "GET /ProyWeb10/Tabla.jsp HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:02:11 -0300] "GET /ProyWeb10/Descarga.jsp HTTP/1.1" 200 26660
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:00 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:04 -0300] "GET /ProyWeb10/MenuABM.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:04 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:15 -0300] "POST /ProyWeb10/AbmSubTarea.jsp HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:15 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:27 -0300] "POST /ProyWeb10/AbmCommitter.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:30 -0300] "GET /ProyWeb10/MenuABM.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:30 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:36 -0300] "POST /ProyWeb10/AbmSubTarea.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:37 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:45 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:47 -0300] "GET /ProyWeb10/CerrarSesion.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [27/Feb/2013:00:03:47 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
