127.0.0.1 - - [15/Feb/2013:16:52:41 -0300] "GET / HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:52:43 -0300] "GET /ProyWeb10/index.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:52:43 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:12 -0300] "GET /ProyWeb10/index.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:15 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:15 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:33 -0300] "POST /ProyWeb10/Validacion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:33 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:34 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:43 -0300] "GET /ProyWeb10/CargaDiaria.jsp HTTP/1.1" 200 8561
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:44 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:55 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:53:55 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:54:04 -0300] "GET /ProyWeb10/Tabla.jsp HTTP/1.1" 200 12464
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:54:04 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:54:22 -0300] "GET /ProyWeb10/Descarga.jsp HTTP/1.1" 200 26148
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:16 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:17 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:22 -0300] "GET /ProyWeb10/MenuABM.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:22 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:22 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:30 -0300] "GET /ProyWeb10/MenuPpal.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:30 -0300] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:34 -0300] "GET /ProyWeb10/CerrarSesion.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:34 -0300] "GET /ProyWeb10/style/style.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Feb/2013:16:55:34 -0300] "GET /favicon.ico HTTP/1.1" 404 998
